[aime] loaded 60 problems from years=['2024', '2025-I', '2025-II']
[aime] 1/60 id=2024-2024-II-4 gold=33 maj=8 (x) pass=0/1 counts={'8': 1}
[aime] 2/60 id=2024-2024-II-12 gold=23 maj=5 (x) pass=0/1 counts={'5': 1}
[aime] 3/60 id=2024-2024-I-4 gold=116 maj=116 (OK) pass=1/1 counts={'116': 1}
[aime] 4/60 id=2024-2024-I-3 gold=809 maj=809 (OK) pass=1/1 counts={'809': 1}
[aime] 5/60 id=2024-2024-I-8 gold=197 maj=35 (x) pass=0/1 counts={'35': 1}
[aime] 6/60 id=2024-2024-I-12 gold=385 maj=1 (x) pass=0/1 counts={'1': 1}
[aime] 7/60 id=2024-2024-I-11 gold=371 maj=3 (x) pass=0/1 counts={'3': 1}
[aime] 8/60 id=2024-2024-II-11 gold=601 maj=601 (OK) pass=1/1 counts={'601': 1}
[aime] 9/60 id=2024-2024-I-2 gold=25 maj=25 (OK) pass=1/1 counts={'25': 1}
[aime] 10/60 id=2024-2024-II-6 gold=55 maj=55 (OK) pass=1/1 counts={'55': 1}
[aime] 11/60 id=2024-2024-I-7 gold=540 maj=540 (OK) pass=1/1 counts={'540': 1}
[aime] 12/60 id=2024-2024-II-3 gold=45 maj=45 (OK) pass=1/1 counts={'45': 1}
[aime] 13/60 id=2024-2024-I-1 gold=204 maj=204 (OK) pass=1/1 counts={'204': 1}
[aime] 14/60 id=2024-2024-II-7 gold=699 maj=629 (x) pass=0/1 counts={'629': 1}
[aime] 15/60 id=2024-2024-I-6 gold=294 maj=294 (OK) pass=1/1 counts={'294': 1}
[aime] 16/60 id=2024-2024-I-13 gold=110 maj=110 (OK) pass=1/1 counts={'110': 1}
[aime] 17/60 id=2024-2024-I-15 gold=721 maj=721 (OK) pass=1/1 counts={'721': 1}
[aime] 18/60 id=2024-2024-II-15 gold=315 maj=3 (x) pass=0/1 counts={'3': 1}
[aime] 19/60 id=2024-2024-II-10 gold=468 maj=468 (OK) pass=1/1 counts={'468': 1}
