[aime] loaded 60 problems from years=['2024', '2025-I', '2025-II']
[aime] 1/60 id=2024-2024-II-4 gold=33 maj=33 (OK) pass=1/1 counts={'33': 1}
[aime] 2/60 id=2024-2024-II-12 gold=23 maj=23 (OK) pass=1/1 counts={'23': 1}
[aime] 3/60 id=2024-2024-I-4 gold=116 maj=116 (OK) pass=1/1 counts={'116': 1}
[aime] 4/60 id=2024-2024-I-3 gold=809 maj=809 (OK) pass=1/1 counts={'809': 1}
[aime] 5/60 id=2024-2024-I-8 gold=197 maj=273 (x) pass=0/1 counts={'273': 1}
[aime] 6/60 id=2024-2024-I-12 gold=385 maj=1 (x) pass=0/1 counts={'1': 1}
[aime] 7/60 id=2024-2024-I-11 gold=371 maj=469 (x) pass=0/1 counts={'469': 1}
[aime] 8/60 id=2024-2024-II-11 gold=601 maj=7 (x) pass=0/1 counts={'7': 1}
[aime] 9/60 id=2024-2024-I-2 gold=25 maj=25 (OK) pass=1/1 counts={'25': 1}
[aime] 10/60 id=2024-2024-II-6 gold=55 maj=55 (OK) pass=1/1 counts={'55': 1}
[aime] 11/60 id=2024-2024-I-7 gold=540 maj=540 (OK) pass=1/1 counts={'540': 1}
[aime] 12/60 id=2024-2024-II-3 gold=45 maj=45 (OK) pass=1/1 counts={'45': 1}
[aime] 13/60 id=2024-2024-I-1 gold=204 maj=204 (OK) pass=1/1 counts={'204': 1}
[aime] 14/60 id=2024-2024-II-7 gold=699 maj=2 (x) pass=0/1 counts={'2': 1}
[aime] 15/60 id=2024-2024-I-6 gold=294 maj=294 (OK) pass=1/1 counts={'294': 1}
[aime] 16/60 id=2024-2024-I-13 gold=110 maj=155 (x) pass=0/1 counts={'155': 1}
[aime] 17/60 id=2024-2024-I-15 gold=721 maj=721 (OK) pass=1/1 counts={'721': 1}
[aime] 18/60 id=2024-2024-II-15 gold=315 maj=24 (x) pass=0/1 counts={'24': 1}
[aime] 19/60 id=2024-2024-II-10 gold=468 maj=156 (x) pass=0/1 counts={'156': 1}
[aime] 20/60 id=2024-2024-II-9 gold=902 maj=2 (x) pass=0/1 counts={'2': 1}
[aime] 21/60 id=2024-2024-II-14 gold=211 maj=2 (x) pass=0/1 counts={'2': 1}
[aime] 22/60 id=2024-2024-II-5 gold=80 maj=740 (x) pass=0/1 counts={'740': 1}
[aime] 23/60 id=2024-2024-I-9 gold=480 maj=80 (x) pass=0/1 counts={'80': 1}
[aime] 24/60 id=2024-2024-II-2 gold=236 maj=2 (x) pass=0/1 counts={'2': 1}
[aime] 25/60 id=2024-2024-II-1 gold=73 maj=73 (OK) pass=1/1 counts={'73': 1}
[aime] 26/60 id=2024-2024-I-10 gold=113 maj=308 (x) pass=0/1 counts={'308': 1}
[aime] 27/60 id=2024-2024-II-8 gold=127 maj=0 (x) pass=0/1 counts={'0': 1}
[aime] 28/60 id=2024-2024-I-14 gold=104 maj=115 (x) pass=0/1 counts={'115': 1}
[aime] 29/60 id=2024-2024-I-5 gold=104 maj=0 (x) pass=0/1 counts={'0': 1}
[aime] 30/60 id=2024-2024-II-13 gold=321 maj=321 (OK) pass=1/1 counts={'321': 1}
[aime] 31/60 id=2025-I-01 gold=70 maj=70 (OK) pass=1/1 counts={'70': 1}
[aime] 32/60 id=2025-I-02 gold=588 maj=90 (x) pass=0/1 counts={'90': 1}
[aime] 33/60 id=2025-I-03 gold=16 maj=16 (OK) pass=1/1 counts={'16': 1}
[aime] 34/60 id=2025-I-04 gold=117 maj=117 (OK) pass=1/1 counts={'117': 1}
[aime] 35/60 id=2025-I-05 gold=279 maj=279 (OK) pass=1/1 counts={'279': 1}
