[aime] loaded 60 problems from years=['2024', '2025-I', '2025-II']
[aime] 1/60 id=2024-2024-II-4 gold=33 maj=33 (OK) pass=1/1 counts={'33': 1}
[aime] 2/60 id=2024-2024-II-12 gold=23 maj=19 (x) pass=0/1 counts={'19': 1}
[aime] 3/60 id=2024-2024-I-4 gold=116 maj=116 (OK) pass=1/1 counts={'116': 1}
[aime] 4/60 id=2024-2024-I-3 gold=809 maj=809 (OK) pass=1/1 counts={'809': 1}
[aime] 5/60 id=2024-2024-I-8 gold=197 maj=21 (x) pass=0/1 counts={'21': 1}
[aime] 6/60 id=2024-2024-I-12 gold=385 maj=1 (x) pass=0/1 counts={'1': 1}
[aime] 7/60 id=2024-2024-I-11 gold=371 maj=4 (x) pass=0/1 counts={'4': 1}
[aime] 8/60 id=2024-2024-II-11 gold=601 maj=601 (OK) pass=1/1 counts={'601': 1}
[aime] 9/60 id=2024-2024-I-2 gold=25 maj=25 (OK) pass=1/1 counts={'25': 1}
[aime] 10/60 id=2024-2024-II-6 gold=55 maj=55 (OK) pass=1/1 counts={'55': 1}
[aime] 11/60 id=2024-2024-I-7 gold=540 maj=540 (OK) pass=1/1 counts={'540': 1}
[aime] 12/60 id=2024-2024-II-3 gold=45 maj=45 (OK) pass=1/1 counts={'45': 1}
[aime] 13/60 id=2024-2024-I-1 gold=204 maj=204 (OK) pass=1/1 counts={'204': 1}
[aime] 14/60 id=2024-2024-II-7 gold=699 maj=475 (x) pass=0/1 counts={'475': 1}
[aime] 15/60 id=2024-2024-I-6 gold=294 maj=294 (OK) pass=1/1 counts={'294': 1}
[aime] 16/60 id=2024-2024-I-13 gold=110 maj=134 (x) pass=0/1 counts={'134': 1}
[aime] 17/60 id=2024-2024-I-15 gold=721 maj=1 (x) pass=0/1 counts={'1': 1}
[aime] 18/60 id=2024-2024-II-15 gold=315 maj=3 (x) pass=0/1 counts={'3': 1}
[aime] 19/60 id=2024-2024-II-10 gold=468 maj=169 (x) pass=0/1 counts={'169': 1}
[aime] 20/60 id=2024-2024-II-9 gold=902 maj=2 (x) pass=0/1 counts={'2': 1}
[aime] 21/60 id=2024-2024-II-14 gold=211 maj=2 (x) pass=0/1 counts={'2': 1}
[aime] 22/60 id=2024-2024-II-5 gold=80 maj=20 (x) pass=0/1 counts={'20': 1}
[aime] 23/60 id=2024-2024-I-9 gold=480 maj=4 (x) pass=0/1 counts={'4': 1}
[aime] 24/60 id=2024-2024-II-2 gold=236 maj=236 (OK) pass=1/1 counts={'236': 1}
[aime] 25/60 id=2024-2024-II-1 gold=73 maj=73 (OK) pass=1/1 counts={'73': 1}
[aime] 26/60 id=2024-2024-I-10 gold=113 maj=232 (x) pass=0/1 counts={'232': 1}
[aime] 27/60 id=2024-2024-II-8 gold=127 maj=7 (x) pass=0/1 counts={'7': 1}
[aime] 28/60 id=2024-2024-I-14 gold=104 maj=89 (x) pass=0/1 counts={'89': 1}
[aime] 29/60 id=2024-2024-I-5 gold=104 maj=107 (x) pass=0/1 counts={'107': 1}
[aime] 30/60 id=2024-2024-II-13 gold=321 maj=321 (OK) pass=1/1 counts={'321': 1}
[aime] 31/60 id=2025-I-01 gold=70 maj=70 (OK) pass=1/1 counts={'70': 1}
[aime] 32/60 id=2025-I-02 gold=588 maj=588 (OK) pass=1/1 counts={'588': 1}
[aime] 33/60 id=2025-I-03 gold=16 maj=16 (OK) pass=1/1 counts={'16': 1}
[aime] 34/60 id=2025-I-04 gold=117 maj=117 (OK) pass=1/1 counts={'117': 1}
[aime] 35/60 id=2025-I-05 gold=279 maj=279 (OK) pass=1/1 counts={'279': 1}
[aime] 36/60 id=2025-I-06 gold=504 maj=504 (OK) pass=1/1 counts={'504': 1}
[aime] 37/60 id=2025-I-07 gold=821 maj=12 (x) pass=0/1 counts={'12': 1}
[aime] 38/60 id=2025-I-08 gold=77 maj=46 (x) pass=0/1 counts={'46': 1}
[aime] 39/60 id=2025-I-09 gold=62 maj=6 (x) pass=0/1 counts={'6': 1}
[aime] 40/60 id=2025-I-10 gold=81 maj=114 (x) pass=0/1 counts={'114': 1}
[aime] 41/60 id=2025-I-11 gold=259 maj=68 (x) pass=0/1 counts={'68': 1}
[aime] 42/60 id=2025-I-12 gold=510 maj=75 (x) pass=0/1 counts={'75': 1}
[aime] 43/60 id=2025-I-13 gold=204 maj=129 (x) pass=0/1 counts={'129': 1}
[aime] 44/60 id=2025-I-14 gold=60 maj=88 (x) pass=0/1 counts={'88': 1}
[aime] 45/60 id=2025-I-15 gold=735 maj=147 (x) pass=0/1 counts={'147': 1}
[aime] 46/60 id=2025-II-01 gold=468 maj=468 (OK) pass=1/1 counts={'468': 1}
